,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
0,ushuaia,75,ar,1561970863,64,-54.81,-68.31,275.15,2.1
1,san cristobal,92,ec,1561971132,96,14.68,-86.92,291.4,1.74
2,sola,0,vu,1561971132,29,-3.17,33.8,301.9,4.59
3,arraial do cabo,16,br,1561971133,68,-22.97,-42.02,295.5,2.26
4,isangel,0,vu,1561971133,63,-19.55,169.27,296.7,1.92
5,carnarvon,100,au,1561971133,66,-30.97,22.13,279.3,9.44
6,lompoc,90,us,1561971133,93,34.64,-120.46,289.26,4.1
7,bluff,62,nz,1561971134,54,-23.58,149.07,291.8,3.65
8,hithadhoo,87,mv,1561971134,64,-0.6,73.08,302.3,0.85
9,vaini,100,to,1561971134,70,15.34,74.49,302.6,4.47
10,mendoza,0,ar,1561970886,52,-32.89,-68.84,275.15,1.77
11,kutum,0,sd,1561971135,33,14.2,24.66,305.1,5.29
12,lorengau,100,pg,1561971135,80,-2.02,147.27,299.6,1.32
13,busselton,66,au,1561971135,45,-33.64,115.35,289.26,5.12
14,kapaa,90,us,1561971135,83,22.08,-159.32,299.15,4.6
15,yulara,0,au,1561970877,16,-25.24,130.99,297.15,4.6
16,punta arenas,0,cl,1561970872,93,-53.16,-70.91,274.15,3.1
17,taolanaro,66,mg,1561971136,79,54.72,-113.29,287,4.52
18,athabasca,100,ca,1561971137,68,-23.12,-134.97,293.7,7.23
19,rikitea,40,pf,1561970944,64,-20.41,57.7,297.15,5.1
20,mahebourg,0,mu,1561971137,82,20.93,-17.03,293.15,9.8
21,nouadhibou,0,mr,1561971137,46,39.88,45.43,287.1,3.57
22,hermon,99,us,1561971138,67,59.36,143.24,286.4,5.57
23,okhotsk,0,ru,1561971138,70,-38.31,-60.23,273.4,4
24,attawapiskat,75,ca,1561971083,76,-33.93,18.42,289.82,1.5
25,barrow,20,us,1561971139,61,-26.57,18.15,283.15,5.1
26,tukrah,0,ly,1561971139,60,-14.4,-56.44,292.1,1.82
27,cape town,40,za,1561971139,68,50.28,57.21,293.15,8
28,keetmanshoop,59,na,1561971140,74,69.44,-133.03,278.1,8.38
29,diamantino,0,br,1561971118,66,29.04,111.68,303.8,4.03
30,aqtobe,0,kz,1561971140,34,71.98,102.47,289.1,4.56
31,tuktoyaktuk,52,ca,1561971140,74,-9.8,-139.03,300.2,6.05
32,changde,17,cn,1561971141,95,-34.42,19.24,285.93,4.92
33,khatanga,1,ru,1561971141,46,66.15,-65.72,279.9,1.16
34,atuona,0,pf,1561971141,36,13.6,26.69,306.5,5.02
35,hermanus,100,za,1561971142,93,68.75,161.3,277.1,1.7
36,raga,75,sd,1561971142,50,-42.88,147.33,287.59,10.3
37,pangnirtung,100,ca,1561971142,68,-2.57,150.8,302.3,3.26
38,umm kaddadah,1,sd,1561971143,74,5.56,95.32,302.4,8.86
39,cherskiy,100,ru,1561970926,75,65.61,-37.64,279.15,2.6
40,hobart,75,au,1561971143,73,-16.92,145.77,295.15,4.1
41,amderma,90,ru,1561971143,86,-42.48,-73.76,278.15,4.1
42,kavieng,0,pg,1561971144,53,57.91,26.05,296.15,9.8
43,banda aceh,90,id,1561971144,80,62.45,-114.38,278.15,7.2
44,tasiilaq,1,gl,1561971092,67,40.34,-75.93,290.37,2.1
45,cairns,67,au,1561971144,82,-0.74,-90.35,293.9,4.78
46,castro,100,cl,1561971145,66,2.67,72.89,302.2,2.64
47,soe,1,id,1561971145,93,39.62,-77.74,290.93,1.28
48,yellowknife,100,ca,1561971145,31,62.72,129.66,298.15,2
49,reading,19,us,1561971146,30,9.49,50.81,309.4,14.12
50,puerto ayora,9,ec,1561971146,78,-19.06,-169.92,297.15,5.1
51,kudahuvadhoo,13,mv,1561971082,89,-2.08,101.38,299.8,0.95
52,vardo,96,no,1561971147,67,8.96,38.73,291,2.21
53,namtsy,90,ru,1561971147,88,19.71,-155.08,296.15,3.6
54,bandarbeyla,100,so,1561971147,87,62.23,-6.59,279.15,8.7
55,alofi,88,nu,1561971147,84,48.72,-86.38,282.7,2.65
56,sungaipenuh,1,id,1561971148,100,45.36,-73.48,291.15,1.38
57,grand river south east,22,mu,1561970887,43,68.05,39.51,287,2.98
58,lebu,100,cl,1561970943,60,-21.21,-159.78,295.15,6.2
59,hilo,99,us,1561971149,58,-33.21,138.6,282.4,3.4
60,klaksvik,69,fo,1561971149,83,72.79,-56.15,276.9,1.74
61,marathon,80,ca,1561971149,92,6.8,-58.16,297.7,3.39
62,saint-philippe,40,re,1561971149,64,-20.34,57.76,297.15,5.1
63,ostrovnoy,0,ru,1561971150,84,37.72,-8.78,290.93,3.13
64,shchelyayur,40,ru,1561971150,88,38.52,-28.7,294.15,4.1
65,avarua,64,ck,1561970877,87,-34.53,20.04,287.15,6.7
66,jamestown,25,sh,1561971151,57,55.09,80.97,293.2,3.64
67,upernavik,100,gl,1561971151,55,71.97,114.09,280.9,6.04
68,georgetown,0,sh,1561971151,76,-33.69,-53.46,281.5,6.94
69,bambous virieux,19,mu,1561970937,58,29.72,112.52,303.7,3.6
70,vila nova de milfontes,76,pt,1561971152,57,10.3,22.78,303.4,5.41
71,ribeira grande,72,pt,1561971152,80,-8.93,125.41,297.3,1.33
72,sinkat,0,sd,1561971152,19,37.52,42.46,305.15,4.6
73,bredasdorp,20,za,1561970879,81,65.28,-126.83,280.15,3.6
74,chulym,0,ru,1561971153,38,-17.91,15.98,289.15,3.1
75,saskylakh,0,ru,1561971153,69,46.42,3.91,304.82,1
76,chuy,1,uy,1561971153,72,59.64,-151.54,289.15,6.2
77,dongsheng,0,cn,1561971153,29,11.28,49.18,312.15,8.7
78,birao,1,cf,1561971154,67,39.31,-74.98,293.15,2.6
79,airai,62,pw,1561971154,87,-26.65,15.16,287.15,1.5
80,sirnak,56,tr,1561970892,92,3.38,-59.8,296.6,3.91
81,norman wells,97,ca,1561971154,77,73.51,80.55,277,0.64
82,ondangwa,84,na,1561971155,84,0.61,-80.02,297.3,6.77
83,saint-francois,40,gp,1561971155,63,52.47,1.45,293.71,7.7
84,homer,40,us,1561971155,88,30.3,-99.24,294.26,2.1
85,bosaso,0,so,1561971155,99,-21.17,-43.02,288.15,0.45
86,port elizabeth,75,za,1561971156,37,66.42,112.4,295.15,4
87,luderitz,20,na,1561970878,93,55.74,-97.86,286.15,3.1
88,lethem,83,gy,1561971047,58,-33.59,26.89,290.93,3.58
89,dikson,25,ru,1561971156,25,-15.77,128.74,304.15,3.1
90,muisne,100,ec,1561971157,72,3.07,172.79,302,3.57
91,broome,100,au,1561971157,13,38.94,100.46,301.3,3.47
92,harper,3,lr,1561971157,52,59.85,48.28,292.8,2.06
93,tocantins,1,br,1561970992,100,39.33,-82.98,293.71,1.53
94,udachnyy,100,ru,1561970877,80,48.65,-53.11,282.59,0.45
95,thompson,0,ca,1561971159,74,-20.63,-46,287.1,1.02
96,port alfred,100,za,1561971159,93,-0.86,131.25,298.3,1.76
97,kununurra,20,au,1561971159,52,-3.32,114.59,305.15,2.6
98,ruatoria,0,nz,1561971073,76,-46.28,169.85,280.37,1.34
99,butaritari,0,ki,1561970870,88,-46.19,168.86,279.82,0.45
100,zhangye,77,cn,1561971160,39,59.06,80.87,296,1.68
101,oparino,100,ru,1561971160,93,-26.98,-56.83,285.4,4.6
102,chillicothe,33,us,1561971160,86,68.31,-53.46,276.9,3.44
103,vaitupu,0,wf,1561971161,35,-33.02,27.91,295.15,6.2
104,bonavista,70,ca,1561970933,98,-1.82,-44.87,294.9,0.88
105,ciras,100,af,1561971161,89,47.24,132.03,291,2.16
106,doctor pedro p. pena,90,py,1561971162,100,47.66,-52.73,284.26,1.5
107,ponta do sol,1,pt,1561971162,82,42.65,-73.75,289.82,1.5
108,sorong,75,id,1561971162,87,37.67,139.86,294.9,1.33
109,banjarmasin,6,id,1561971162,94,59.08,159.95,282.1,0.83
110,kaitangata,100,nz,1561971163,69,8.66,38.21,293,1.74
111,mataura,5,pf,1561971163,42,77.48,-69.36,283,3.02
112,kargasok,40,ru,1561970934,64,-41.13,-71.31,274.15,13.4
113,san patricio,0,mx,1561971164,78,-20.34,164.44,296,5.2
114,kangaatsiaq,75,gl,1561971164,63,50.94,-2.63,291.48,6.2
115,east london,75,za,1561971164,94,-5.99,-35.58,296.15,2.6
116,cururupu,1,br,1561971165,53,38.09,-102.62,297.59,6.2
117,asfi,100,ma,1561971165,78,11.11,125.39,301.3,2.45
118,fujin,59,cn,1561971165,47,62.93,152.39,290.8,2.57
119,torbay,75,ca,1561971165,93,63.83,10.7,284.26,3.1
120,albany,90,au,1561971166,100,48.86,-53.99,282.59,3.1
121,kitakata,90,jp,1561971166,100,63.75,-68.52,275.15,5.7
122,palana,20,ru,1561971166,82,48.84,-72.53,289.15,3.6
123,balimo,0,pg,1561971167,25,65.73,150.89,295.2,2.39
